Country,Constitution (sexual orientation),Employment (sexual orientation),Goods & services (sexual orientation),Education (sexual orientation),Health (sexual orientation),Conversion therapy (sexual orientation),Equality body mandate (sexual orientation),Equality action plan (sexual orientation),Constitution (gender identity),Employment (gender identity),Goods & services (gender identity),Education (gender identity),Health (gender identity),Conversion therapy (gender identity),Equality body mandate (gender identity),Equality action plan (gender identity),Law (gender expression),Constitution (sex characteristics),Employment (sex characteristics),Goods & services (sex characteristics),Education (sex characteristics),Health (sex characteristics),Equality body mandate (sex characteristics),Equality action plan (sex characteristics),Blood donations,Marriage equality,Registered partnership (similar rights to marriage),Registered partnership (limited rights),Cohabitation, No constitutional limitation on marriage,Joint adoption,Second-parent adoption,Automatic co-parent recognition,Medically assisted insemination (couples),Medically assisted insemination (singles),Recognition of trans parenthood,Hate crime law (sexual orientation),Hate speech law (sexual orientation),Policy tackling hatred (sexual orientation),Hate crime law (gender identity),Hate speech law (gender identity),Policy tackling hatred (gender identity),Hate crime law (intersex),Policy tackling hatred (intersex),Existence of legal measures,Existence of administrative procedures, Name change,Self-determination,Non-binary recognition,No Gender Identity Disorder diagnosis/psychological opinion required,No compulsory medical intervention required,No compulsory surgical intervention required,No compulsory sterilisation required,No compulsory divorce required, No age restriction,Legal gender recognition procedures exist for minors,Depathologisation,Prohibition of medical intervention before child is able to informed consent (intersex),Universality of prohibition of medical interventions,Existence of effective monitoring mechanism,Access to justice for victims and reparations,"Public event held, no state obstruction of freedom of assembly (3 years)","Public event held, there is enough protection (last 3 years)","Associations operate, no state obstruction of freedom association (last 3 years)",LGBTI human rights defenders are not at risk, No laws limiting external funding, No laws limiting freedom of expression (national/local),Law (sexual orientation),Policy/other positive measures (sexual orientation),Law (gender identity),Policy/other positive measures (gender identity),Law (intersex),Policy/other positive measures (intersex),ID,index,RANK,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Albania,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,1,89,90,"5,199","5,321","5,076","1,718","1,439","0,646","0,719","0,511","0,138","0,028"
Armenia,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,3,81,82,"5,399","5,519","5,278","1,654","1,434","0,820","0,668","0,558","0,054","0,210"
Austria,Y,Y,O,O,O,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,4,10,11,"7,163","7,237","7,089","2,148","1,931","1,165","0,774","0,623","0,193","0,329"
Belgium,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,7,18,19,"6,805","6,890","6,720","2,283","1,907","1,106","0,764","0,492","0,049","0,204"
Bosnia and Herzegovina,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,O,N,N,N,N,Y,N,N,N,N,N,N,Y,O,N,Y,O,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,8,66,67,"5,768","5,877","5,659","1,869","1,468","1,068","0,665","0,448","0,244","0,006"
Bulgaria,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,9,84,85,"5,371","5,485","5,257","1,235","1,625","1,163","0,640","0,563","0,123","0,021"
Croatia,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,10,46,47,"6,125","6,229","6,022","1,884","1,705","1,183","0,709","0,535","0,109","0,000"
Cyprus,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,11,40,41,"6,221","6,320","6,122","2,044","1,815","0,909","0,819","0,448","0,123","0,062"
Czech Republic,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,12,17,18,"6,920","7,029","6,811","2,263","1,815","1,260","0,715","0,660","0,158","0,048"
Denmark,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,13,1,2,"7,636","7,710","7,563","2,226","1,953","1,243","0,777","0,719","0,188","0,532"
