Country,Happiness score,LGBT Rights Score,Explained by: Social support,Explained by: GDP per capita,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Perceptions of corruption
Malta,6.447,8.767123287671232,7.86723163841808,5.6198347107438025,8.695652173913047,8.918406072106261,3.1086142322097374
Spain,6.476,7.534246575342466,8.460451977401132,5.265643447461628,9.446640316205535,5.616698292220114,2.7902621722846437
Belgium,6.805,6.8493150684931505,6.9774011299435035,6.434474616292796,7.707509881422926,5.3700189753320675,3.8202247191011227
Denmark,7.636,6.575342465753424,8.912429378531073,6.977567886658797,8.221343873517789,9.677419354838708,9.9625468164794
Luxembourg,7.404,6.301369863013698,7.669491525423727,10.0,8.735177865612648,9.316888045540795,7.265917602996254
Norway,7.365,6.301369863013698,8.85593220338983,7.497048406139317,8.57707509881423,9.84819734345351,8.87640449438202
Montenegro,5.547,6.164383561643836,5.805084745762709,2.4911452184179446,3.5573122529644294,4.762808349146111,1.441947565543071
Sweden,7.384,6.164383561643836,8.361581920903951,6.587957497048404,9.249011857707512,9.772296015180265,9.588014981273407
France,6.687,6.164383561643836,8.573446327683616,5.914994096812279,9.446640316205535,6.793168880455406,4.9812734082397
Germany,7.034,6.027397260273972,6.72316384180791,6.63518299881936,8.181818181818183,7.134724857685008,6.704119850187265
Finland,7.821,6.027397260273972,9.124293785310734,6.257378984651709,8.142292490118578,9.999999999999998,10.0
Netherlands,7.415,5.7534246575342465,8.389830508474574,6.883116883116884,8.616600790513836,8.387096774193548,7.846441947565542
Portugal,6.016,5.7534246575342465,6.581920903954803,4.698937426210154,8.221343873517789,8.462998102466793,0.7303370786516853
United Kingdom,6.943,5.616438356164384,7.5,5.962219598583236,7.154150197628457,7.362428842504743,6.1610486891385765
Iceland,7.557,5.616438356164384,10.0,6.776859504132229,9.249011857707512,9.658444022770396,3.576779026217228
Austria,7.163,5.068493150684931,7.810734463276834,6.717827626918535,8.102766798418973,7.855787476280835,6.1610486891385765
Ireland,7.041,4.931506849315069,7.824858757062145,9.055489964580872,8.300395256916996,7.93168880455408,7.640449438202245
Greece,5.948,4.931506849315069,5.1977401129943495,4.025974025974026,8.102766798418973,0.7590132827324481,2.022471910112359
Slovenia,6.63,4.657534246575342,8.997175141242938,5.289256198347108,7.905138339920949,9.03225806451613,2.1535580524344566
Switzerland,7.512,4.520547945205479,8.672316384180789,7.839433293978747,9.999999999999996,8.88045540796964,8.632958801498127
Bosnia and Herzegovina,5.768,4.2465753424657535,6.4406779661016955,1.2514757969303396,3.7944664031620583,4.535104364326376,0.11235955056179774
Croatia,6.125,4.2465753424657535,8.064971751412429,4.049586776859503,5.533596837944664,6.185958254269449,0.0
Estonia,6.341,3.9726027397260273,8.757062146892654,5.08854781582054,6.2845849802371525,9.108159392789371,6.235955056179775
Serbia,6.178,3.698630136986301,6.694915254237289,2.219598583234948,3.517786561264824,6.394686907020873,1.6479400749063668
Slovakia,6.391,3.5616438356164384,8.757062146892654,4.415584415584416,5.454545454545453,5.1233396584440225,0.4681647940074906
Kosovo,6.455,3.5616438356164384,4.759887005649716,0.0,0.0,7.4003795066413645,0.6554307116104868
Albania,5.199,3.150684931506849,0.480225988700564,0.9090909090909101,5.928853754940711,5.730550284629981,0.5243445692883895
Czech Republic,6.92,3.013698630136986,9.152542372881356,5.348288075560802,5.770750988142293,8.55787476280835,0.8988764044943819
North Macedonia,5.199,2.73972602739726,3.545197740112993,1.6883116883116855,2.6877470355731248,5.2941176470588225,0.5805243445692884
Hungary,6.086,2.73972602739726,8.771186440677965,4.557260920897285,3.913043478260871,5.237191650853889,1.1985018726591758
Cyprus,6.221,2.602739726027397,4.194915254237287,5.348288075560802,9.881422924901184,4.535104364326376,1.1610486891385767
Italy,6.467,2.4657534246575343,6.214689265536723,5.572609208972846,9.169960474308304,3.851992409867172,1.1048689138576777
Georgia,4.973,2.4657534246575343,0.0,1.2396694214876014,1.0276679841897227,5.673624288425048,3.8951310861423214
Lithuania,6.446,2.328767123287671,8.361581920903951,5.218417945690671,3.5573122529644294,5.4459203036053125,1.441947565543071
Moldova,5.857,2.054794520547945,5.59322033898305,0.649350649350648,1.1067193675889335,6.679316888045541,0.5243445692883895
Bulgaria,5.371,2.054794520547945,7.7824858757062145,3.105076741440378,2.8063241106719374,6.717267552182161,0.3932584269662921
Latvia,6.18,2.054794520547945,8.601694915254239,4.368358913813459,2.6877470355731248,5.559772296015179,1.685393258426966
Ukraine,5.084,1.917808219178082,6.6242937853107335,0.5785123966942152,0.553359683794465,5.009487666034154,0.31835205992509363
Romania,6.477,1.7808219178082192,5.564971751412429,4.214876033057852,3.399209486166008,7.514231499051233,0.11235955056179774
Poland,6.123,1.506849315068493,7.93785310734463,4.675324675324674,5.652173913043477,5.958254269449716,2.6217228464419473
Russia,5.459,0.821917808219178,6.822033898305083,3.8134592680047206,0.6719367588932812,3.6432637571157493,1.49812734082397
Armenia,5.399,0.684931506849315,2.9378531073446315,0.8500590318772119,3.913043478260871,6.622390891840608,3.9325842696629207
Turkey,4.744,0.410958904109589,3.573446327683614,4.073199527744983,5.25691699604743,0.0,2.1535580524344566
